Date,priceUSD,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusdUSD,transactionfeesUSD,median_transaction_feeUSD,confirmationtime,transactionvalueUSD,mediantransactionvalueUSD,activeaddresses,top100cap,fee_to_rewardUSD,Open,High,Low,Close,Adj Close,Volume
19-05-2016,449.494,219025,955400,286434,1.94255E+11,1.27E+18,1.079,952749618,0.113,0.0519,12,5228,140.816,400946,18.398,1.801,454.523987,454.632996,438.714996,438.714996,438.714996,96027400
20-05-2016,441.529,209247,781575,274483,1.94255E+11,1.40E+18,1.19,710545520,0.109,0.0511,9.664,4496,132.37,397298,18.43,1.367,437.792999,444.053986,437.389008,442.675995,442.675995,81987904
21-05-2016,442.068,191320,891215,260801,1.94255E+11,1.32E+18,1.197,551523877,0.131,0.0477,10.213,3639,113.54,415312,18.469,1.588,442.966003,443.778015,441.705994,443.187988,443.187988,42762300
22-05-2016,441.268,184164,603499,252107,1.94255E+11,1.66E+18,1.237,520670205,0.104,0.0461,7.826,3613,107.369,393300,18.473,0.931,443.217987,443.427002,439.035004,439.322998,439.322998,39657600
23-05-2016,441.669,222574,646188,300753,1.94255E+11,1.81E+18,1.113,717658537,0.109,0.0462,8,4230,130.167,437689,18.527,1.203,439.347992,444.345001,438.822998,444.154999,444.154999,50582500
24-05-2016,445.089,246370,849884,312870,1.94771E+11,1.50E+18,1.109,833836164,0.108,0.047,9.796,4536,118.229,462383,18.577,1.595,444.290985,447.100006,443.929993,445.980988,445.980988,65783100
25-05-2016,448.097,247703,870456,312886,1.99312E+11,1.36E+18,1.155,1245321409,0.108,0.0518,10.435,6038,118.198,450438,18.747,1.707,446.062012,450.298004,446.062012,449.598999,449.598999,65231000
26-05-2016,450.845,219956,820396,291764,1.99312E+11,1.37E+18,1.125,1368033643,0.114,0.0521,10.667,7431,139.342,413798,18.826,1.623,449.671997,453.644012,447.895996,453.384003,453.384003,65203800
27-05-2016,472.112,215157,948048,306728,1.99312E+11,1.31E+18,1.276,1724155190,0.156,0.064,10.36,9042,150.604,456557,19.088,2.001,453.520996,478.148987,453.520996,473.463989,473.463989,164780992
28-05-2016,496.908,192921,863282,281494,1.99312E+11,1.43E+18,1.177,1594980088,0.135,0.0653,10.827,9433,138.155,436334,19.19,1.551,473.028992,533.473022,472.699005,530.039978,530.039978,181199008
29-05-2016,522.366,178595,679996,252561,1.99312E+11,1.47E+18,1.32,1090226164,0.14,0.0649,9.796,8006,139.838,369009,19.381,1.29,527.47699,553.960022,512.179016,526.232971,526.232971,148736992
30-05-2016,533.135,211224,891660,297260,1.99312E+11,1.34E+18,1.457,904588186,0.146,0.0619,10,5666,126.556,492783,19.673,1.583,528.471008,544.348999,522.963013,533.864014,533.864014,87958704
31-05-2016,535.416,215122,866937,292466,1.99312E+11,1.42E+18,1.215,1116769826,0.13,0.0622,11.339,6367,151.827,435775,19.81,1.623,534.190979,546.617981,520.661987,531.385986,531.385986,138450000
01-06-2016,532.201,234241,839229,307193,1.99312E+11,1.26E+18,1.539,929754823,0.128,0.0618,10.07,5354,121.691,450917,19.829,1.548,531.106995,543.080017,525.635986,536.919983,536.919983,86061800
02-06-2016,534.594,230961,826756,296969,1.99312E+11,1.47E+18,1.276,998839950,0.135,0.064,10.435,5414,116.842,439406,19.576,1.669,536.515015,540.35199,533.078003,537.971985,537.971985,60378200
03-06-2016,551.979,234527,832476,304099,1.99312E+11,1.39E+18,1.429,822002409,0.129,0.0642,10.141,4555,130.044,443089,19.64,1.518,537.682007,574.638,536.919983,569.19397,569.19397,122020000
04-06-2016,571.159,196546,840473,262486,1.99312E+11,1.35E+18,1.282,659106024,0.135,0.0604,12.101,4332,126.434,410980,19.594,1.538,569.705017,590.132019,564.237976,572.72699,572.72699,94925296
05-06-2016,573.875,189632,611143,262657,1.99312E+11,1.42E+18,1.731,810825694,0.134,0.0617,8.471,5531,129.065,410251,19.537,1.029,573.307983,582.807983,569.177979,574.97699,574.97699,68874096
